LapNumber,Driver,Team,Compound,Stint,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,TrackStatus,Time,DriverNumber,PitInTime,PitOutTime,Season,Event,WillPitThisLap,NextPitIn3Laps,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,IsSoft,IsMedium,IsHard,TrackStatusYellow
1.0,ALB,Williams,SOFT,1.0,1.0,0 days 00:01:43.888000,,0 days 00:00:44.007000,0 days 00:00:24.378000,11.0,12,0 days 01:01:44.093000,23,,,2024,Bahrain,0,0,103.888,,44.007,24.378,1,0,0,0
2.0,ALB,Williams,SOFT,1.0,2.0,0 days 00:01:38.826000,0 days 00:00:31.419000,0 days 00:00:43.106000,0 days 00:00:24.301000,11.0,1,0 days 01:03:22.919000,23,,,2024,Bahrain,0,0,98.826,31.419,43.106,24.301,1,0,0,0
3.0,ALB,Williams,SOFT,1.0,3.0,0 days 00:01:38.507000,0 days 00:00:31.002000,0 days 00:00:43.081000,0 days 00:00:24.424000,11.0,1,0 days 01:05:01.426000,23,,,2024,Bahrain,0,0,98.507,31.002,43.081,24.424,1,0,0,0
4.0,ALB,Williams,SOFT,1.0,4.0,0 days 00:01:38.422000,0 days 00:00:31.023000,0 days 00:00:43.007000,0 days 00:00:24.392000,11.0,1,0 days 01:06:39.848000,23,,,2024,Bahrain,0,0,98.422,31.023,43.007,24.392,1,0,0,0
5.0,ALB,Williams,SOFT,1.0,5.0,0 days 00:01:38.509000,0 days 00:00:31.049000,0 days 00:00:43.027000,0 days 00:00:24.433000,11.0,1,0 days 01:08:18.357000,23,,,2024,Bahrain,0,0,98.509,31.049,43.027,24.433,1,0,0,0
6.0,ALB,Williams,SOFT,1.0,6.0,0 days 00:01:38.575000,0 days 00:00:31.034000,0 days 00:00:43.141000,0 days 00:00:24.400000,11.0,1,0 days 01:09:56.932000,23,,,2024,Bahrain,0,0,98.575,31.034,43.141,24.4,1,0,0,0
7.0,ALB,Williams,SOFT,1.0,7.0,0 days 00:01:38.971000,0 days 00:00:31.498000,0 days 00:00:43.186000,0 days 00:00:24.287000,11.0,1,0 days 01:11:35.903000,23,,,2024,Bahrain,0,0,98.971,31.498,43.186,24.287,1,0,0,0
8.0,ALB,Williams,SOFT,1.0,8.0,0 days 00:01:38.660000,0 days 00:00:31.493000,0 days 00:00:42.899000,0 days 00:00:24.268000,11.0,1,0 days 01:13:14.563000,23,,,2024,Bahrain,0,0,98.66,31.493,42.899,24.268,1,0,0,0
9.0,ALB,Williams,SOFT,1.0,9.0,0 days 00:01:38.652000,0 days 00:00:31.458000,0 days 00:00:42.976000,0 days 00:00:24.218000,11.0,1,0 days 01:14:53.215000,23,,,2024,Bahrain,0,0,98.652,31.458,42.976,24.218,1,0,0,0
10.0,ALB,Williams,SOFT,1.0,10.0,0 days 00:01:38.952000,0 days 00:00:31.624000,0 days 00:00:42.955000,0 days 00:00:24.373000,11.0,12,0 days 01:16:32.167000,23,,,2024,Bahrain,0,0,98.952,31.624,42.955,24.373,1,0,0,0
11.0,ALB,Williams,SOFT,1.0,11.0,0 days 00:01:38.835000,0 days 00:00:31.490000,0 days 00:00:42.923000,0 days 00:00:24.422000,11.0,1,0 days 01:18:11.002000,23,,,2024,Bahrain,0,0,98.835,31.49,42.923,24.422,1,0,0,0
12.0,ALB,Williams,SOFT,1.0,12.0,0 days 00:01:38.934000,0 days 00:00:31.510000,0 days 00:00:43.065000,0 days 00:00:24.359000,9.0,1,0 days 01:19:49.936000,23,,,2024,Bahrain,0,0,98.934,31.51,43.065,24.359,1,0,0,0
13.0,ALB,Williams,SOFT,1.0,13.0,0 days 00:01:38.823000,0 days 00:00:31.569000,0 days 00:00:42.884000,0 days 00:00:24.370000,6.0,1,0 days 01:21:28.759000,23,,,2024,Bahrain,0,1,98.823,31.569,42.884,24.37,1,0,0,0
14.0,ALB,Williams,SOFT,1.0,14.0,0 days 00:01:38.977000,0 days 00:00:31.598000,0 days 00:00:42.931000,0 days 00:00:24.448000,5.0,1,0 days 01:23:07.736000,23,,,2024,Bahrain,0,1,98.977,31.598,42.931,24.448,1,0,0,0
15.0,ALB,Williams,SOFT,1.0,15.0,0 days 00:01:41.171000,0 days 00:00:31.510000,0 days 00:00:42.741000,0 days 00:00:26.920000,5.0,1,0 days 01:24:48.907000,23,0 days 01:24:47.139000,,2024,Bahrain,1,1,101.171,31.51,42.741,26.92,1,0,0,0
16.0,ALB,Williams,HARD,2.0,1.0,0 days 00:01:59.341000,0 days 00:00:52.731000,0 days 00:00:42.591000,0 days 00:00:24.019000,15.0,1,0 days 01:26:48.248000,23,,0 days 01:25:11.918000,2024,Bahrain,0,0,119.341,52.731,42.591,24.019,0,0,1,0
17.0,ALB,Williams,HARD,2.0,2.0,0 days 00:01:37.392000,0 days 00:00:30.812000,0 days 00:00:42.564000,0 days 00:00:24.016000,14.0,1,0 days 01:28:25.640000,23,,,2024,Bahrain,0,0,97.392,30.812,42.564,24.016,0,0,1,0
18.0,ALB,Williams,HARD,2.0,3.0,0 days 00:01:37.590000,0 days 00:00:31.214000,0 days 00:00:42.369000,0 days 00:00:24.007000,14.0,1,0 days 01:30:03.230000,23,,,2024,Bahrain,0,0,97.59,31.214,42.369,24.007,0,0,1,0
19.0,ALB,Williams,HARD,2.0,4.0,0 days 00:01:37.763000,0 days 00:00:31.357000,0 days 00:00:42.448000,0 days 00:00:23.958000,14.0,1,0 days 01:31:40.993000,23,,,2024,Bahrain,0,0,97.763,31.357,42.448,23.958,0,0,1,0
20.0,ALB,Williams,HARD,2.0,5.0,0 days 00:01:37.701000,0 days 00:00:31.328000,0 days 00:00:42.379000,0 days 00:00:23.994000,14.0,1,0 days 01:33:18.694000,23,,,2024,Bahrain,0,0,97.701,31.328,42.379,23.994,0,0,1,0
21.0,ALB,Williams,HARD,2.0,6.0,0 days 00:01:37.918000,0 days 00:00:31.227000,0 days 00:00:42.440000,0 days 00:00:24.251000,14.0,1,0 days 01:34:56.612000,23,,,2024,Bahrain,0,0,97.918,31.227,42.44,24.251,0,0,1,0
